campus_index,campus_name,latitude,longitude,projected_x_m,projected_y_m,snapped_node_id,node_x_m,node_y_m,snap_distance_m,within_snap_threshold
0,D,-6.367957022267902,106.83309635890863,702761.5255304462,9295760.542067269,13599647452,702684.0750761593,9295704.402024902,95.6570814218805,True
1,E,-6.353752172254033,106.84159316305178,703707.2833903492,9297328.250128848,4712847066,703763.565697638,9297290.89582929,67.55029096336864,True
2,G,-6.354234721369049,106.84338356106764,703905.2047382017,9297274.17498814,8555971924,703876.7498143755,9297286.843002276,31.147411965190745,True
3,F4,-6.373649813990326,106.86318582486531,706088.6366445529,9295118.99734347,10112100807,706090.5127066413,9295090.799516724,28.260167057184454,True
4,F5,-6.369296220683817,106.83676819212762,703167.2821390973,9295610.983737934,1846989986,703138.6677326954,9295672.858414296,68.1708136125783,True
5,F6,-6.345757033149296,106.85435354308778,705122.4178532681,9298207.474964792,6787481813,705121.2143967472,9298178.63796004,28.86210579137393,True
6,F7,-6.344363093455065,106.88307686504615,708301.3717154082,9298350.185921308,4923789165,708386.4154579839,9298352.973063879,85.08940189583195,True
7,S,-6.296769680410338,106.82973599992759,702417.448401078,9303635.105265662,4927903180,702386.1954136351,9303682.140235199,56.47156437901291,True
8,C,-6.196973702159097,106.85209241771877,704930.3407695289,9314663.816858137,329019268,704872.7478115888,9314647.837162526,59.768716533795924,True
9,J1,-6.248946372849019,106.97054774544556,718020.6778721027,9308868.02218471,3673059505,717994.801717807,9308772.306547059,99.15169515418707,True
10,J3,-6.261687568292143,107.02297516022837,723818.1430484032,9307436.684426663,3427843037,723855.9892566006,9307324.30748556,118.57871801760575,True
11,J6,-6.258541893722087,106.95892368892778,716730.1480228226,9307811.496937016,493991996,716707.1786389254,9307807.389829166,23.333686624795735,True
12,K,-6.232345261132437,106.61554334227392,678737.391531507,9310837.756798249,8485681125,678728.7937577956,9310835.98730913,8.777972689329284,True
