origin_name,destination_name,generated_distance_m_full,reference_distance_m_full,signed_difference_m,absolute_difference_m,within_tolerance
D,D,0.0,0.0,0.0,0.0,True
D,E,3011.4257671794953,3011.4257671794903,5.002220859751105e-12,5.002220859751105e-12,True
D,G,2956.8209181005645,2956.82091810056,4.547473508864641e-12,4.547473508864641e-12,True
D,F4,6619.44067081717,6619.44067081717,0.0,0.0,True
D,F5,3511.2304595657824,3511.22577683372,0.00468273206251979,0.00468273206251979,True
D,F6,5281.426477487466,5281.42647748746,6.366462912410498e-12,6.366462912410498e-12,True
D,F7,9679.539917046419,9690.418725053749,-10.878808007330008,10.878808007330008,False
D,S,10960.090191568866,10959.5214092752,0.5687822936670273,0.5687822936670273,True
D,C,21758.681124362447,21758.4039968715,0.27712749094644096,0.27712749094644096,True
D,J1,26342.25310127069,26335.8140069063,6.439094364388438,6.439094364388438,False
D,J3,31587.552763535685,31588.078589374,-0.5258258383146313,0.5258258383146313,True
D,J6,31744.291084877314,31744.7506303651,-0.45954548778536264,0.45954548778536264,True
D,K,39654.949953709045,39654.9452709769,0.004682732142100576,0.004682732142100576,True
E,D,3484.2665835747152,3484.26190084266,0.004682732055243832,0.004682732055243832,True
E,E,0.0,0.0,0.0,0.0,True
E,G,125.22673578406582,125.22673578406501,8.100187187665142e-13,8.100187187665142e-13,True
E,F4,3959.1346057458563,3959.13460574585,6.366462912410498e-12,6.366462912410498e-12,True
E,F5,2977.458489925527,2977.45380719347,0.004682732057062822,0.004682732057062822,True
E,F6,2621.1204124161573,2621.12041241615,7.275957614183426e-12,7.275957614183426e-12,True
E,F7,7019.233851975106,7030.11265998243,-10.878808007324551,10.878808007324551,False
E,S,10718.959679504655,10718.390897211,0.5687822936542943,0.5687822936542943,True
E,C,20838.302223902578,20838.2502575141,0.051966388477012515,0.051966388477012515,True
E,J1,23578.84541053446,23572.40631617,6.439094364461198,6.439094364461198,False
E,J3,28824.145072799456,28824.670898637803,-0.5258258383473731,0.5258258383473731,True
E,J6,28980.883394141085,28981.3429396288,-0.45954548771624104,0.45954548771624104,True
E,K,39121.177984068774,39121.1733013367,0.004682732076616958,0.004682732076616958,True
G,D,3429.661734495785,3429.65705176373,0.004682732054789085,0.004682732054789085,True
G,E,125.22673578406582,125.22673578406501,8.100187187665142e-13,8.100187187665142e-13,True
G,G,0.0,0.0,0.0,0.0,True
G,F4,3904.5297566669256,3904.52975666692,5.4569682106375694e-12,5.4569682106375694e-12,True
G,F5,2922.8536408465966,2922.84895811454,0.004682732056608074,0.004682732056608074,True
G,F6,2566.5155633372265,2566.5155633372196,6.821210263296962e-12,6.821210263296962e-12,True
G,F7,6964.629002896175,6975.5078109035,-10.87880800732546,10.87880800732546,False
G,S,10664.354830425726,10663.786048132099,0.5687822936270095,0.5687822936270095,True
