,D,E,G,F4,F5,F6,F7,S,C,J1,J3,J6,K
D,0.000000000000,3.011425767179,2.956820918101,6.619440670817,3.511230459566,5.281426477487,9.679539917046,10.960090191569,21.758681124362,26.342253101271,31.587552763536,31.744291084877,39.654949953709
E,3.484266583575,0.000000000000,0.125226735784,3.959134605746,2.977458489926,2.621120412416,7.019233851975,10.718959679505,20.838302223903,23.578845410534,28.824145072799,28.980883394141,39.121177984069
G,3.429661734496,0.125226735784,0.000000000000,3.904529756667,2.922853640847,2.566515563337,6.964629002896,10.664354830426,20.809753574157,23.550296760789,28.795596423054,28.952334744395,39.066573134990
F4,6.333444437900,4.082898259636,4.028293410557,0.000000000000,6.690828886563,4.431852064981,5.657198566726,14.303474595359,22.409649759277,23.090494739062,28.208698586145,28.655270836812,39.323113101096
F5,2.075396578526,3.504597560861,3.449992711782,5.762039543166,0.000000000000,5.774598271169,10.172711710728,11.453261985250,22.251852918044,26.835424894952,32.080724557217,32.237462878559,36.669641390222
F6,5.744988897121,2.630250176545,2.575645327466,4.577562807746,5.238180803472,0.000000000000,5.031305209411,11.285204372018,19.391379535936,21.668338851506,26.703752593749,26.860490915090,41.214180318259
F7,10.139161204414,7.024422483838,6.969817634759,5.282356064387,9.632353110765,5.164486154010,0.000000000000,12.086924648477,19.987923137031,17.805920206503,22.841333948745,22.998072270087,42.015900594718
S,10.887018309107,9.937376163842,9.882771314763,12.870800214162,10.380210215458,10.024561640768,11.089633391000,0.000000000000,14.594832740793,20.999385065537,26.246697407696,26.403435729038,34.532642287994
C,21.123615788581,20.173973643316,20.119368794237,21.986533873629,20.616807694932,19.225340905337,19.096420932431,13.766041723235,0.000000000000,16.702885990822,22.404367503005,24.224816339499,31.541424388079
J1,26.197646392608,22.970677160764,22.942128511018,22.540474761771,25.690838298959,21.496835855804,17.635515273911,21.029764869389,17.585976447799,0.000000000000,7.936244511431,8.092982832772,45.345301618708
J3,31.758542375139,28.531573143295,28.503024493549,27.910627520918,31.251734281490,26.489592038424,22.628271456532,27.394802472086,23.951014050496,6.874436978059,0.000000000000,8.033644129527,51.710339221405
J6,28.087345740343,24.860376508499,24.831827858753,24.430174109506,27.580537646694,23.386535203538,19.525214621646,22.919464217124,18.209103375551,4.297802542109,10.724345902318,0.000000000000,47.236625269021
K,37.373520059673,39.144588683052,39.089983833973,40.026453774240,39.587422734668,41.414589393360,43.149733089274,32.397364883488,30.925328384318,46.111864262795,52.538407623005,53.849976182959,0.000000000000
