,D,E,G,F4,F5,F6,F7,S,C,J1,J3,J6,K
D,0,3011,2957,6619,3511,5281,9680,10960,21759,26342,31588,31744,39655
E,3484,0,125,3959,2977,2621,7019,10719,20838,23579,28824,28981,39121
G,3430,125,0,3905,2923,2567,6965,10664,20810,23550,28796,28952,39067
F4,6333,4083,4028,0,6691,4432,5657,14303,22410,23090,28209,28655,39323
F5,2075,3505,3450,5762,0,5775,10173,11453,22252,26835,32081,32237,36670
F6,5745,2630,2576,4578,5238,0,5031,11285,19391,21668,26704,26860,41214
F7,10139,7024,6970,5282,9632,5164,0,12087,19988,17806,22841,22998,42016
S,10887,9937,9883,12871,10380,10025,11090,0,14595,20999,26247,26403,34533
C,21124,20174,20119,21987,20617,19225,19096,13766,0,16703,22404,24225,31541
J1,26198,22971,22942,22540,25691,21497,17636,21030,17586,0,7936,8093,45345
J3,31759,28532,28503,27911,31252,26490,22628,27395,23951,6874,0,8034,51710
J6,28087,24860,24832,24430,27581,23387,19525,22919,18209,4298,10724,0,47237
K,37374,39145,39090,40026,39587,41415,43150,32397,30925,46112,52538,53850,0
